goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     728	   1598994 ns/op	     79000 nominalGas/op	   62866 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     490	   2630653 ns/op	    113000 nominalGas/op	  112535 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     463	   2517570 ns/op	    113000 nominalGas/op	  112521 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     490	   2433218 ns/op	    113000 nominalGas/op	  112573 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     477	   2497858 ns/op	    113000 nominalGas/op	  112554 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     458	   2481787 ns/op	    113000 nominalGas/op	  112547 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     482	   2524930 ns/op	    113000 nominalGas/op	  112535 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     478	   2429167 ns/op	    113000 nominalGas/op	  112539 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     498	   2503772 ns/op	    113000 nominalGas/op	  112513 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     471	   2594389 ns/op	    113000 nominalGas/op	  112539 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     500	   2398874 ns/op	    113000 nominalGas/op	  112578 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     298	   4153566 ns/op	    181000 nominalGas/op	  211743 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     286	   4245418 ns/op	    181000 nominalGas/op	  211763 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     264	   3931569 ns/op	    181000 nominalGas/op	  211771 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     302	   4231498 ns/op	    181000 nominalGas/op	  211738 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     290	   4254000 ns/op	    181000 nominalGas/op	  211728 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     282	   3986170 ns/op	    181000 nominalGas/op	  211714 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     294	   4115150 ns/op	    181000 nominalGas/op	  211768 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     284	   4097526 ns/op	    181000 nominalGas/op	  211763 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     280	   4088166 ns/op	    181000 nominalGas/op	  211721 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     303	   4167335 ns/op	    181000 nominalGas/op	  211727 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     158	   7480198 ns/op	    317000 nominalGas/op	  411865 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     150	   7322666 ns/op	    317000 nominalGas/op	  411830 B/op	    3916 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     163	   7746667 ns/op	    317000 nominalGas/op	  411786 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     157	   7532741 ns/op	    317000 nominalGas/op	  411761 B/op	    3916 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     165	   7652298 ns/op	    317000 nominalGas/op	  411790 B/op	    3916 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     145	   7304150 ns/op	    317000 nominalGas/op	  411782 B/op	    3917 allocs/op
