goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     703	   1776229 ns/op	     79000 nominalGas/op	   62859 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     482	   2589339 ns/op	    113000 nominalGas/op	  112538 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     408	   2816251 ns/op	    113000 nominalGas/op	  112551 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     397	   2691223 ns/op	    113000 nominalGas/op	  112549 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     440	   2566205 ns/op	    113000 nominalGas/op	  112563 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     450	   2810577 ns/op	    113000 nominalGas/op	  112547 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     438	   2839685 ns/op	    113000 nominalGas/op	  112564 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     456	   2615764 ns/op	    113000 nominalGas/op	  112552 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     459	   2828579 ns/op	    113000 nominalGas/op	  112542 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     433	   2779138 ns/op	    113000 nominalGas/op	  112546 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     446	   2645430 ns/op	    113000 nominalGas/op	  112561 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     279	   4529345 ns/op	    181000 nominalGas/op	  211800 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     254	   4675666 ns/op	    181000 nominalGas/op	  211755 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     266	   4355308 ns/op	    181000 nominalGas/op	  211770 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     272	   4704989 ns/op	    181000 nominalGas/op	  211782 B/op	    2009 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     260	   4574776 ns/op	    181000 nominalGas/op	  211821 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     291	   4476033 ns/op	    181000 nominalGas/op	  211757 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     264	   4655602 ns/op	    181000 nominalGas/op	  211747 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     260	   4458663 ns/op	    181000 nominalGas/op	  211796 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     266	   4424380 ns/op	    181000 nominalGas/op	  211843 B/op	    2009 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     271	   4751302 ns/op	    181000 nominalGas/op	  211759 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     140	   7797000 ns/op	    317000 nominalGas/op	  411848 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     152	   7898757 ns/op	    317000 nominalGas/op	  411903 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     136	   8499024 ns/op	    317000 nominalGas/op	  411940 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     138	   8013819 ns/op	    317000 nominalGas/op	  411948 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     151	   8640705 ns/op	    317000 nominalGas/op	  411916 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     134	   8106050 ns/op	    317000 nominalGas/op	  411868 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     144	   8045698 ns/op	    317000 nominalGas/op	  411823 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     144	   8354260 ns/op	    317000 nominalGas/op	  411878 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     148	   8219211 ns/op	    317000 nominalGas/op	  411861 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     151	   8439699 ns/op	    317000 nominalGas/op	  411926 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     837	   1421919 ns/op	     50000 nominalGas/op	   62387 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     978	   1326546 ns/op	     50000 nominalGas/op	   62384 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     841	   1429813 ns/op	     50000 nominalGas/op	   62404 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     842	   1382061 ns/op	     50000 nominalGas/op	   62406 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     856	   1329512 ns/op	     50000 nominalGas/op	   62377 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     932	   1351417 ns/op	     50000 nominalGas/op	   62393 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     819	   1459468 ns/op	     50000 nominalGas/op	   62383 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     938	   1353655 ns/op	     50000 nominalGas/op	   62397 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     967	   1343950 ns/op	     50000 nominalGas/op	   62385 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     783	   1414797 ns/op	     50000 nominalGas/op	   62396 B/op	     425 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4610	    238147 ns/op	     50000 nominalGas/op	   27419 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4872	    235882 ns/op	     50000 nominalGas/op	   27413 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4603	    237639 ns/op	     50000 nominalGas/op	   27420 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	   10000	    246132 ns/op	     50000 nominalGas/op	   27420 B/op	     216 allocs/op
